Loxley Grove	Wetherby	LS22	53.9409	-1.3923	1:FHSM;2:FHSN;3:FHSP;4:IEX5;5:FHSR;6:FHSS;7:FISO;8:FISQ;
Lupton Street	Hunslet	LS10	53.7773	-1.5269	35:LDN2;36:IWM1;37:IWLX;38:IWMD;39:JUUQ;40:JUUS;41:JUUH;42:F34C;43:HLIL;44:IVWX;45:F33Z;46:IWL4;47:IWLO;48:IWLS;
Luther Street	Rodley	LS13	53.8238	-1.6673	1:LMUC;2:F5HL;3:F6BI;4:F6BS;5:LMUE;6:F5HP;7:F601;8:F60I;10:F6IB;12:GVAX;14:F61S;16:F6B4;18:F60W;
Luttrell Close	Lawnswood	LS16	53.8426	-1.6024	1:MCDB;2:GNKR;3:IWFT;4:IWFV;5:LG28;6:KWES;7:KXEL;8:KXEQ;9:KXET;10:IWG9;11:IWGH;12:IWGE;14:IWFI;15:IW5I;
Luttrell Crescent	Lawnswood	LS16	53.8442	-1.6020	1:IW5N;2:IW5B;3:IWFD;4:IX3N;5:MCDC;6:IX3T;7:IX3F;8:IX39;9:IX3L;10:IX3I;11:IX3R;12:IX4B;14:IX4C;15:IX4F;16:IX42;17:HM43;18:GNLL;19:IX47;20:LG2M;22:KWEB;24:KWEH;25:KWE0;26:KWE8;27:KWE5;28:KWDZ;29:IX2V;30:IX36;31:IX33;32:II3U;33:LHF2;34:KWEN;35:IWTM;36:IVNN;38:IVNS;40:IVNG;42:IVNC;44:HLI8;46:HLI9;CHILDRENS HOME, 23:J9TU;GARAGE SITE L REAR OF 2:IW57;
Luttrell Gardens	Lawnswood	LS16	53.8452	-1.6022	1:IVNQ;2:IVOA;3:LDML;4:MCDH;5:IVOB;6:IVNZ;7:IVO1;8:HLIF;9:LLZQ;10:IX4Y;11:IX4K;12:MCDD;
Luttrell Place	Lawnswood	LS16	53.8432	-1.6019	1:IX4P;2:IX4J;3:LZFI;4:JYBM;5:JYBO;6:IX57;7:IX55;8:JY25;9:JY29;10:IWMQ;11:JZEX;12:JZET;15:JYE1;17:IWMX;GARAGE SITE K REAR OF 10:IWMY;
Luttrell Road	Lawnswood	LS16	53.8445	-1.6014	1:HMI6;2:HNHV;3:HNHX;4:JZEV;5:KXPH;6:KXPE;7:KXPC;8:KXP9;GARAGE SITE J REAR OF, 46:HMI5;
Luxor Avenue	Harehills	LS8	53.8152	-1.5155	1:KXPU;2:KXPW;3:IIED;4:FV08;5:KXPT;6:KXPR;7:KXPP;8:KXPM;9:KXFG;10:LEN6;11:IWMJ;12:KXF6;13:KXF2;14:LEN5;15:KXEW;16:KXOU;17:KXOR;18:KXP3;19:KXOP;20:KXOM;21:FV07;22:FUZ9;23:JYD0;24:JYCZ;26:JYD7;27:JYCY;29:JYCV;31:JYCS;33:GRT1;35:JYDJ;37:JYDH;39:JYDQ;41:HNHN;43:GRT2;45:HNHM;47:GRT3;49:GRSY;51:LYMP;53:KXQD;55:KXQA;
Luxor Road	Harehills	LS8	53.8157	-1.5157	1:KXQ6;2:IIEI;3:JYCH;4:JYCK;5:JYC1;6:GRSZ;7:JYC6;8:FUZ8;9:KTRK;10:KTRN;11:KTRJ;12:FUZZ;13:KTRP;14:JYRN;15:JYRK;16:KTRG;17:FSKU;18:KTS8;19:HP0D;20:KTSG;21:MGE8;22:KTSJ;23:KTRX;24:KTS0;26:KTS6;27:JYHI;28:JYHG;30:JYH5;32:JYH2;34:JYHA;36:JYH7;38:HKLQ;40:GQMX;42:HLB7;44:JYRH;46:JYRE;48:FUZC;50:LH7T;52:JYR7;54:KTSK;56:KW3H;58:FV01;60:IVR7;
Luxor Street	Harehills	LS8	53.8154	-1.5155	2:KW3M;3:HKSF;4:KTTV;5:KTU1;6:IVR9;7:IVRQ;8:LG1V;9:IVRY;10:IVRB;11:IVRE;12:LG1U;13:IVRM;14:KTSY;15:KTT0;16:KTT4;17:KTT7;18:KTSN;19:KTSQ;20:KTSM;21:FV00;22:KTTJ;23:HKSE;24:KTTP;25:KTTT;28:KTT9;30:KTTB;32:HKSA;34:JXGF;36:IYJ6;38:IYJF;40:IYJA;42:IYIY;44:IYIU;46:HK7C;48:HK7B;50:IYIW;51:IZK6;52:IZKA;53:IZKE;53:MIO1;54:IYJM;55:IYJI;56:IYJL;57:LKTJ;58:IYJ2;59:IVHV;59:LE9D;61:IVHR;63:FZT9;
Luxor View	Harehills	LS8	53.8149	-1.5155	1:IVHY;2:FUZE;3:IVHM;4:IVHO;5:IVI0;6:IY9T;7:HK78;8:FZTE;9:IVR0;10:IVR5;11:IY9M;13:JYFW;14:JYG8;15:JYG2;16:JYG6;17:JXG5;18:HKBC;19:HKBD;20:JXG9;21:JYGO;22:JYH1;23:JYGW;24:FUZB;25:JYGB;26:JYGL;27:JYGH;28:JXG3;29:IZKY;30:IZL2;31:IZL6;32:IZL3;33:FZTF;34:IZKO;35:IZKR;36:IZLS;36:L53Z;37:FZTG;38:JXG1;39:HL7A;40:IZLC;41:LKTZ;42:IZLK;43:LYM5;44:JZSK;45:JZSF;46:JZSR;47:JZS3;48:JZS7;49:JZS2;50:JZSD;51:JZT8;52:JZTC;53:JZTE;54:JUTU;55:LUOQ;56:FUZG;57:JZT1;58:JZT6;59:FUZD;60:HLBF;61:HLBG;62:JYRU;63:IVN9;64:JYRS;65:JYRW;66:JYRT;67:JZRP;68:JZS1;69:JZRX;70:JZRG;71:JYSD;72:FUZF;74:JZRJ;76:HLBE;78:KWDB;FLAT 1 GROUND FLOOR, 12:NZYL;FLAT 2 FIRST FLOOR, 12:NZYM;
